date,account_value,fold,split,seed
2019-10-25,10085.223015550166,fold8,val,69
2019-10-28,10028.37721278648,fold8,val,69
2019-10-29,10031.352871409828,fold8,val,69
2019-10-30,10000.584126664931,fold8,val,69
2019-10-31,10027.219076130828,fold8,val,69
2019-11-01,9934.327610146003,fold8,val,69
2019-11-04,9894.41440590619,fold8,val,69
2019-11-05,9905.35908078344,fold8,val,69
2019-11-06,9903.100514234802,fold8,val,69
2019-11-07,9868.274023298278,fold8,val,69
2019-11-08,9843.937645837654,fold8,val,69
2019-11-11,9862.737047389965,fold8,val,69
2019-11-12,9841.9466509037,fold8,val,69
2019-11-13,9838.76136049734,fold8,val,69
2019-11-14,9824.438285855796,fold8,val,69
2019-11-15,9753.34493581723,fold8,val,69
2019-11-18,9746.150738508955,fold8,val,69
2019-11-19,9748.961833649908,fold8,val,69
2019-11-20,9785.216223078092,fold8,val,69
2019-11-21,9800.959725618564,fold8,val,69
2019-11-22,9779.163591998618,fold8,val,69
2019-11-25,9769.38442840662,fold8,val,69
2019-11-26,9769.38442840662,fold8,val,69
2019-11-27,9803.118928076468,fold8,val,69
2019-11-29,9766.762327404156,fold8,val,69
2019-12-02,9683.796183456205,fold8,val,69
2019-12-03,9618.851397373,fold8,val,69
2019-12-04,9678.202203765391,fold8,val,69
2019-12-05,9695.60337808754,fold8,val,69
2019-12-06,9784.163501726303,fold8,val,69
2019-12-09,9753.4008807448,fold8,val,69
2019-12-10,9742.524909720238,fold8,val,69
2019-12-11,9770.180923231475,fold8,val,69
2019-12-12,9854.39027914326,fold8,val,69
2019-12-13,9860.29435060537,fold8,val,69
2019-12-16,9928.034704094662,fold8,val,69
2019-12-17,9930.21008795815,fold8,val,69
2019-12-18,9930.831219793628,fold8,val,69
2019-12-19,9971.537639900036,fold8,val,69
2019-12-20,9966.255648566284,fold8,val,69
2019-12-23,9956.289392917715,fold8,val,69
2019-12-24,9956.289392917715,fold8,val,69
2019-12-26,9956.289392917715,fold8,val,69
2019-12-27,9956.289392917715,fold8,val,69
2019-12-30,9956.289392917715,fold8,val,69
2019-12-31,9956.289392917715,fold8,val,69
2020-01-02,10000.0,fold8,test,69
2020-01-03,10000.0,fold8,test,69
2020-01-06,10000.0,fold8,test,69
2020-01-07,10000.0,fold8,test,69
2020-01-08,10000.0,fold8,test,69
2020-01-09,10000.0,fold8,test,69
2020-01-10,10000.0,fold8,test,69
2020-01-13,10000.0,fold8,test,69
2020-01-14,10000.0,fold8,test,69
2020-01-15,10000.0,fold8,test,69
2020-01-16,10000.0,fold8,test,69
2020-01-17,10000.0,fold8,test,69
2020-01-21,10000.0,fold8,test,69
2020-01-22,10000.0,fold8,test,69
2020-01-23,10001.457260883848,fold8,test,69
2020-01-24,9912.513510434268,fold8,test,69
2020-01-27,9753.62176531306,fold8,test,69
2020-01-28,9855.83172098456,fold8,test,69
2020-01-29,9847.690551349137,fold8,test,69
2020-01-30,9879.649794807185,fold8,test,69
2020-01-31,9700.256067111775,fold8,test,69
2020-02-03,9772.314803549189,fold8,test,69
2020-02-04,9921.257354811012,fold8,test,69
2020-02-05,10035.828123421286,fold8,test,69
2020-02-06,10069.597231331514,fold8,test,69
2020-02-07,10015.929735702515,fold8,test,69
2020-02-10,10090.701888647034,fold8,test,69
2020-02-11,10108.189577400522,fold8,test,69
2020-02-12,10173.31433391337,fold8,test,69
2020-02-13,10162.45974777084,fold8,test,69
2020-02-14,10152.297288023068,fold8,test,69
2020-02-18,10168.281295415803,fold8,test,69
2020-02-19,10119.664351864398,fold8,test,69
2020-02-20,10161.23842826968,fold8,test,69
2020-02-21,10265.88157553951,fold8,test,69
2020-02-24,10606.353632099848,fold8,test,69
2020-02-25,10927.74894822586,fold8,test,69
2020-02-26,10967.943558294952,fold8,test,69
2020-02-27,11460.532397048475,fold8,test,69
2020-02-28,11449.071864651429,fold8,test,69
2020-03-02,10942.299286363534,fold8,test,69
2020-03-03,10931.35698707717,fold8,test,69
2020-03-04,10931.35698707717,fold8,test,69
2020-03-05,11283.439007375548,fold8,test,69
2020-03-06,11272.155568368173,fold8,test,69
2020-03-09,11272.155568368173,fold8,test,69
2020-03-10,11843.576614558771,fold8,test,69
2020-03-11,11266.220633800132,fold8,test,69
2020-03-12,10188.30061806091,fold8,test,69
2020-03-13,11059.260772751884,fold8,test,69
2020-03-16,9849.115148179992,fold8,test,69
2020-03-17,10380.889206408578,fold8,test,69
2020-03-18,9855.274444074952,fold8,test,69
2020-03-19,9876.21667669928,fold8,test,69
2020-03-20,9395.361762001085,fold8,test,69
2020-03-23,9155.139196794164,fold8,test,69
2020-03-24,9984.624670520849,fold8,test,69
2020-03-25,10134.09630785939,fold8,test,69
2020-03-26,10725.824187900083,fold8,test,69
2020-03-27,10406.348464883033,fold8,test,69
2020-03-30,10744.302075584956,fold8,test,69
2020-03-31,10584.154116501328,fold8,test,69
2020-04-01,10107.815601071785,fold8,test,69
2020-04-02,10341.05742207059,fold8,test,69
2020-04-03,10191.585784732046,fold8,test,69
2020-04-06,10876.116020388832,fold8,test,69
2020-04-07,10887.204006162705,fold8,test,69
2020-04-08,11252.670182831229,fold8,test,69
2020-04-09,11241.417512648395,fold8,test,69
2020-04-13,11332.709315807911,fold8,test,69
2020-04-14,10998.475183728498,fold8,test,69
2020-04-15,11232.1718958575,fold8,test,69
2020-04-16,11177.984580629123,fold8,test,69
2020-04-17,10876.0064458752,fold8,test,69
2020-04-20,11067.6197199837,fold8,test,69
2020-04-21,11403.668637678677,fold8,test,69
2020-04-22,11150.569450963792,fold8,test,69
2020-04-23,11151.369268838022,fold8,test,69
2020-04-24,10995.933580529778,fold8,test,69
2020-04-27,10837.389349111074,fold8,test,69
2020-04-28,10887.224232210525,fold8,test,69
2020-04-29,10602.213132624862,fold8,test,69
2020-04-30,10700.926804126828,fold8,test,69
2020-05-01,10984.217048332024,fold8,test,69
2020-05-04,10953.92009430131,fold8,test,69
2020-05-05,10942.966174207007,fold8,test,69
2020-05-06,11006.128353328488,fold8,test,69
2020-05-07,10873.319418796826,fold8,test,69
2020-05-08,10693.40733614962,fold8,test,69
2020-05-11,10691.213455942188,fold8,test,69
2020-05-12,10904.306211119514,fold8,test,69
2020-05-13,11097.158305047493,fold8,test,69
2020-05-14,10964.355149890884,fold8,test,69
2020-05-15,10913.952376208092,fold8,test,69
2020-05-18,10581.51672422739,fold8,test,69
2020-05-19,10690.201411541011,fold8,test,69
2020-05-20,10508.596084169632,fold8,test,69
2020-05-21,10581.1468342628,fold8,test,69
2020-05-22,10561.05250336144,fold8,test,69
2020-05-26,10430.934499029809,fold8,test,69
2020-05-27,10275.73258671392,fold8,test,69
2020-05-28,10294.690795735976,fold8,test,69
2020-05-29,10248.818612509738,fold8,test,69
2020-06-01,10207.39561560596,fold8,test,69
2020-06-02,10122.876880606758,fold8,test,69
2020-06-03,9988.159083915703,fold8,test,69
2020-06-04,10014.395113758846,fold8,test,69
2020-06-05,9757.730844780954,fold8,test,69
2020-06-08,9639.78446681518,fold8,test,69
2020-06-09,9711.665391906508,fold8,test,69
