variant,date,fold,split,account_value,account_value_std,seed_count
gating,2013-03-21,fold2,val,9987.855991711145,314.8367726326106,5
gating,2013-03-22,fold1,test,9642.146205810055,37.83068755567158,5
gating,2013-03-22,fold2,val,9922.430850744202,344.2035630063887,5
gating,2013-03-25,fold1,test,9648.14913393514,20.751056763090613,5
gating,2013-03-25,fold2,val,9961.768861011209,341.0777371480274,5
gating,2013-03-26,fold1,test,9632.608970021733,72.24509698300605,5
gating,2013-03-26,fold2,val,9896.825582082889,370.3582425066756,5
gating,2013-03-27,fold1,test,9632.608970021733,72.24509698300605,5
gating,2013-03-27,fold2,val,9894.717489401664,365.78043632873965,5
gating,2013-03-28,fold1,test,9626.878539671216,104.2036057442636,5
gating,2013-03-28,fold2,val,9868.675539278085,374.1410957415069,5
gating,2013-04-01,fold1,test,9634.140529099102,63.14641068835609,5
gating,2013-04-01,fold2,val,9888.982116790437,335.0084420811866,5
gating,2013-04-02,fold1,test,9624.89767008702,114.42249071364344,5
gating,2013-04-02,fold2,val,9860.846158734606,378.1289433051436,5
gating,2013-04-03,fold1,test,9661.267550362496,56.07393474624015,5
gating,2013-04-03,fold2,val,9937.391862825529,331.20371417383495,5
gating,2013-04-04,fold1,test,9651.574428418891,83.33304641274158,5
gating,2013-04-04,fold2,val,9917.977591692146,358.37811153759185,5
gating,2013-04-05,fold1,test,9659.964459916946,49.375451863415364,5
gating,2013-04-05,fold2,val,9941.627386205384,320.2393191936814,5
gating,2013-04-08,fold1,test,9647.029204560948,104.661564089863,5
gating,2013-04-08,fold2,val,9925.354042612724,367.869792469021,5
gating,2013-04-09,fold1,test,9640.647582518819,138.80090160282356,5
gating,2013-04-09,fold2,val,9901.749901941479,400.2819299737498,5
gating,2013-04-10,fold1,test,9592.351634252947,225.6317622865463,5
gating,2013-04-10,fold2,val,9804.314447225097,447.5838941071235,5
gating,2013-04-11,fold1,test,9584.738425150676,257.5597704316462,5
gating,2013-04-11,fold2,val,9783.940755394115,471.9465617449445,5
gating,2013-04-12,fold1,test,9591.74094419181,235.57366898979225,5
gating,2013-04-12,fold2,val,9800.586847365177,457.0079887656522,5
gating,2013-04-15,fold1,test,9677.063142424715,96.73312968836234,5
gating,2013-04-15,fold2,val,9927.342406131935,250.7386843876821,5
gating,2013-04-16,fold1,test,9558.7458812531,91.10709659226805,5
gating,2013-04-16,fold2,val,9836.304517948465,298.7808753934463,5
gating,2013-04-17,fold1,test,9696.463404891165,91.10452967384789,5
gating,2013-04-17,fold2,val,9918.64855354679,331.8893016287518,5
gating,2013-04-18,fold1,test,9757.101541067022,91.67426408586175,5
gating,2013-04-18,fold2,val,9937.06774103831,317.39569087153956,5
gating,2013-04-19,fold1,test,9687.3641212211,105.53778155743338,5
gating,2013-04-19,fold2,val,9949.046506232178,357.2970657498819,5
gating,2013-04-22,fold1,test,9642.422621848476,102.67212158979156,5
gating,2013-04-22,fold2,val,9947.139282047749,362.416498219468,5
gating,2013-04-23,fold1,test,9543.016164216007,101.61364569580711,5
gating,2013-04-23,fold2,val,9967.564762214824,438.681674994806,5
gating,2013-04-24,fold1,test,9536.967489670733,101.54923965670892,5
gating,2013-04-24,fold2,val,9965.539917582148,437.5175756007213,5
gating,2013-04-25,fold1,test,9498.307411233209,101.13758872315464,5
gating,2013-04-25,fold2,val,9962.441380502705,463.9438002992243,5
gating,2013-04-26,fold1,test,9515.08456496051,101.31623116966026,5
gating,2013-04-26,fold2,val,9965.107692756297,453.8817170050474,5
